ห้อง,ไฟ,น้ำ,,,ไฟล่าสุด,ไฟเดิม,,/หน่วย,บาท,,น้ำล่าสุด,น้ำเดิม,,/หน่วย,บาท,,รวม,ขยะ,บาท
15ก,5593.0,1505.0,1500.0,,5593,5366.0,227,8.0,1816,,1505,1491.0,14,20.0,280,,3596,20.0,3616
13.0,3314.0,1713.0,1500.0,,3314,3291.0,23,8.0,184,,1713,1710.0,3,20.0,60,,1744,20.0,1764
14.0,10002.0,3327.0,1200.0,,10002,9927.0,75,8.0,600,,3327,3313.0,14,20.0,280,,2080,20.0,2100
15.0,9979.0,1642.0,1200.0,,9979,9876.0,103,8.0,824,,1642,1639.0,3,20.0,60,,2084,20.0,2104
16.0,8680.0,320.0,2000.0,,8680,8571.0,109,8.0,872,,320,310.0,10,20.0,200,,3072,20.0,3092
17.0,1831.0,3024.0,1500.0,,1831,1829.0,2,8.0,16,,3024,3023.0,1,20.0,20,,1536,20.0,1556
18.0,9841.0,1403.0,1500.0,,9841,9809.0,32,8.0,256,,1403,1395.0,8,20.0,160,,1916,20.0,1936
19.0,10049.0,1575.0,1500.0,,10049,10026.0,23,8.0,184,,1575,1569.0,6,20.0,120,,1804,20.0,1824
20.0,6247.0,1968.0,1500.0,,6247,6132.0,115,8.0,920,,1968,1954.0,14,20.0,280,,2700,20.0,2720
21.0,941.0,91.0,1500.0,,941,926.0,15,8.0,120,,91,89.0,2,20.0,40,,1660,20.0,1680
22.0,3406.0,1447.0,1500.0,,3406,3402.0,4,8.0,32,,1447,1446.0,1,20.0,20,,1552,20.0,1572
23.0,1996.0,1148.0,1500.0,,1996,1952.0,44,8.0,352,,1148,1144.0,4,20.0,80,,1932,20.0,1952
24.0,4044.0,1105.0,2000.0,,4044,3941.0,103,8.0,824,,1105,1077.0,28,20.0,560,,3384,20.0,3404
25.0,4093.0,1988.0,1500.0,,4093,4078.0,15,8.0,120,,1988,1979.0,9,20.0,180,,1800,20.0,1820
26.0,1935.0,1582.0,2000.0,,1935,1870.0,65,8.0,520,,1582,1575.0,7,20.0,140,,2660,20.0,2680
27.0,4786.0,1736.0,1500.0,,4786,4666.0,120,8.0,960,,1736,1719.0,17,20.0,340,,2800,20.0,2820
28.0,821.0,565.0,1500.0,,821,763.0,58,8.0,464,,565,558.0,7,20.0,140,,2104,20.0,2124
29.0,1694.0,1200.0,1500.0,,1694,1692.0,2,8.0,16,,1200,1199.0,1,20.0,20,,1536,20.0,1556
30.0,183.0,1388.0,1500.0,,183,109.0,74,8.0,592,,1388,1381.0,7,20.0,140,,2232,20.0,2252
31.0,586.0,1680.0,1500.0,,586,518.0,68,8.0,544,,1680,1672.0,8,20.0,160,,2204,20.0,2224
32.0,997.0,1300.0,1500.0,,997,997.0,0,8.0,0,,1300,1299.0,1,20.0,20,,1520,20.0,1540
33.0,122.0,1590.0,1400.0,,122,78.0,44,8.0,352,,1590,1586.0,4,20.0,80,,1832,20.0,1852
,รวมค่าห้อง,,33800,,,,รวมค่าไฟ,,10568,,,,รวมค่าน้ำ,,3380,,รวมค่่าใช้จ่าย,,48188
,,,,,,,,,,,,,,,,,,,
ร้านใหญ่,20906.0,1365.0,15000.0,,20906,20839.0,67,6.0,402,,1365,1364.0,1,20.0,20,,15422,20.0,15442
,,,,,,,,,,,,,,,,,รวมค่าห้องทั้งหมด,,63630
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,ค่าห้อง,,,,ห้องเช่า  ,63630,,,,,,,,,,,,
,,ค่าเช่า,,,,,63630,฿,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
