ห้อง,ไฟ,น้ำ,,,ไฟล่าสุด,ไฟเดิม,,/หน่วย,บาท,,น้ำล่าสุด,น้ำเดิม,,/หน่วย,บาท,,รวม,ขยะ,บาท
15ก,5871.0,1521.0,1500.0,,5871,5593.0,278,8.0,2224,,1521,1505.0,16,20.0,320,,4044,20.0,4064
13.0,3338.0,1717.0,1500.0,,3338,3314.0,24,8.0,192,,1717,1713.0,4,20.0,80,,1772,20.0,1792
14.0,86.0,3340.0,1200.0,,86,2.0,84,8.0,672,,3340,3327.0,13,20.0,260,,2132,20.0,2152
15.0,10161.0,1645.0,1200.0,,10161,9979.0,182,8.0,1456,,1645,1642.0,3,20.0,60,,2716,20.0,2736
16.0,8820.0,330.0,2000.0,,8820,8680.0,140,8.0,1120,,330,320.0,10,20.0,200,,3320,20.0,3340
17.0,1849.0,3025.0,1500.0,,1849,1831.0,18,8.0,144,,3025,3024.0,1,20.0,20,,1664,20.0,1684
18.0,9875.0,1413.0,1500.0,,9875,9841.0,34,8.0,272,,1413,1403.0,10,20.0,200,,1972,20.0,1992
19.0,70.0,1581.0,1500.0,,70,49.0,21,8.0,168,,1581,1575.0,6,20.0,120,,1788,20.0,1808
20.0,6402.0,1982.0,1500.0,,6402,6247.0,155,8.0,1240,,1982,1968.0,14,20.0,280,,3020,20.0,3040
21.0,962.0,94.0,1500.0,,962,941.0,21,8.0,168,,94,91.0,3,20.0,60,,1728,20.0,1748
22.0,3406.0,1447.0,1500.0,,3406,3406.0,0,8.0,0,,1447,1447.0,0,20.0,0,,1500,20.0,1520
23.0,1997.0,1148.0,1500.0,,1997,1996.0,1,8.0,8,,1148,1148.0,0,20.0,0,,1508,20.0,1528
24.0,4139.0,1163.0,2000.0,,4139,4044.0,95,8.0,760,,1163,1105.0,58,20.0,1160,,3920,20.0,3940
25.0,4138.0,1996.0,1500.0,,4138,4093.0,45,8.0,360,,1996,1988.0,8,20.0,160,,2020,20.0,2040
26.0,2005.0,1589.0,2000.0,,2005,1935.0,70,8.0,560,,1589,1582.0,7,20.0,140,,2700,20.0,2720
27.0,4996.0,1750.0,1500.0,,4996,4786.0,210,8.0,1680,,1750,1736.0,14,20.0,280,,3460,20.0,3480
28.0,898.0,576.0,1500.0,,898,821.0,77,8.0,616,,576,565.0,11,20.0,220,,2336,20.0,2356
29.0,1706.0,1203.0,1500.0,,1706,1694.0,12,8.0,96,,1203,1200.0,3,20.0,60,,1656,20.0,1676
30.0,265.0,1396.0,1500.0,,265,183.0,82,8.0,656,,1396,1388.0,8,20.0,160,,2316,20.0,2336
31.0,661.0,1688.0,1500.0,,661,586.0,75,8.0,600,,1688,1680.0,8,20.0,160,,2260,20.0,2280
32.0,998.0,1301.0,1500.0,,998,997.0,1,8.0,8,,1301,1300.0,1,20.0,20,,1528,20.0,1548
33.0,165.0,1593.0,1400.0,,165,122.0,43,8.0,344,,1593,1590.0,3,20.0,60,,1804,20.0,1824
,รวมค่าห้อง,,33800,,,,รวมค่าไฟ,,13344,,,,รวมค่าน้ำ,,4020,,รวมค่่าใช้จ่าย,,51604
,,,,,,,,,,,,,,,,,,,
ร้านใหญ่,21000.0,1366.0,15000.0,,21000,20906.0,94,6.0,564,,1366,1365.0,1,20.0,20,,15584,20.0,15604
,,,,,,,,,,,,,,,,,รวมค่าห้องทั้งหมด,,67208
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,ค่าห้อง,,,,ห้องเช่า  ,67208,,,,,,,,,,,,
,,ค่าเช่า,,,,,67208,฿,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
