ห้อง,ไฟ,น้ำ,,,ไฟล่าสุด,ไฟเดิม,,/หน่วย,บาท,,น้ำล่าสุด,น้ำเดิม,,/หน่วย,บาท,,รวม,ขยะ,บาท
15ก,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
13.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
14.0,,,1200.0,,,,0,8.0,0,,,,0,20.0,0,,1200,20.0,1220
15.0,,,1200.0,,,,0,8.0,0,,,,0,20.0,0,,1200,20.0,1220
16.0,,,2000.0,,,,0,8.0,0,,,,0,20.0,0,,2000,20.0,2020
17.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
18.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
19.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
20.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
21.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
22.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
23.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
24.0,,,2000.0,,,,0,8.0,0,,,,0,20.0,0,,2000,20.0,2020
25.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
26.0,,,2000.0,,,,0,8.0,0,,,,0,20.0,0,,2000,20.0,2020
27.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
28.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
29.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
30.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
31.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
32.0,,,1500.0,,,,0,8.0,0,,,,0,20.0,0,,1500,20.0,1520
33.0,,,1400.0,,,,0,8.0,0,,,,0,20.0,0,,1400,20.0,1420
,รวมค่าห้อง,,33800,,,,รวมค่าไฟ,,0,,,,รวมค่าน้ำ,,0,,รวมค่่าใช้จ่าย,,34240
,,,,,,,,,,,,,,,,,,,
ร้านใหญ่,,,15000.0,,,,0,6.0,0,,,,0,20.0,0,,15000,20.0,15020
,,,,,,,,,,,,,,,,,รวมค่าห้องทั้งหมด,,49260
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,ค่าห้อง,,,,ห้องเช่า  ,49260,,,,,,,,,,,,
,,ค่าเช่า,,,,,49260,฿,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
